not-plant	plant
138,134,135	35,44,1
137,132,136	35,44,1
137,132,136	38,47,4
135,131,132	40,49,6
136,132,133	38,47,4
137,133,134	37,46,3
136,132,133	37,46,3
135,130,134	37,46,3
138,133,137	35,44,1
139,134,138	33,42,0
137,132,136	35,44,1
126,122,119	35,41,5
130,129,125	34,40,6
129,128,124	35,41,7
126,127,121	35,41,7
127,126,121	35,41,7
136,133,128	33,39,5
132,129,124	36,42,8
128,124,121	37,43,7
127,123,120	38,44,8
125,124,120	39,45,9
128,127,123	38,44,8
39,33,37	40,46,8
37,31,35	40,48,9
38,32,36	40,48,9
40,34,38	39,47,8
39,33,37	40,48,9
40,35,39	38,46,7
38,33,37	37,45,6
37,31,35	38,46,7
39,33,37	37,45,6
41,35,39	37,45,6
42,35,42	38,46,7
139,134,138	33,41,4
139,135,136	35,41,5
139,135,136	38,44,8
134,132,133	36,42,4
133,131,132	34,40,2
136,132,133	34,42,3
139,135,136	34,42,5
138,133,137	34,40,4
137,132,136	34,40,6
137,133,134	32,35,6
134,130,131	31,33,11
124,121,116	36,45,2
127,126,122	37,46,1
130,129,125	38,47,2
127,126,121	37,46,3
125,124,119	36,45,2
134,131,126	37,46,3
131,128,123	35,44,1
129,125,122	32,43,0
126,122,119	31,42,0
126,125,121	33,41,0
127,126,122	33,41,0
33,24,29	34,40,4
32,23,28	36,42,8
32,23,26	36,42,8
33,27,29	34,40,6
33,27,29	34,40,6
30,24,26	35,41,7
30,24,26	33,39,5
31,25,27	36,42,6
26,20,24	39,45,9
32,23,28	38,44,8
38,29,32	37,43,7
138,133,137	41,47,9
141,137,138	40,48,9
138,134,135	41,49,10
134,132,133	42,50,11
134,132,133	40,48,9
138,134,135	40,48,9
138,134,135	40,48,9
141,136,140	37,45,6
137,132,136	37,45,6
133,129,130	37,45,6
138,134,135	38,46,7
124,121,116	33,41,4
124,123,119	34,40,4
127,126,122	34,40,4
128,127,122	34,40,4
129,128,123	35,41,3
131,128,123	37,45,6
129,126,121	35,43,4
130,126,123	33,39,1
130,126,123	34,40,4
127,126,122	35,39,6
127,126,122	30,33,6
28,19,20	36,45,2
29,20,21	37,46,3
28,19,20	37,46,3
25,19,19	35,44,1
23,17,17	36,45,2
22,16,16	36,45,2
21,15,15	36,45,2
21,15,15	32,43,0
22,16,16	31,42,0
22,13,14	33,41,0
32,23,24	35,43,2
134,132,135	36,42,6
138,134,135	35,41,7
135,131,132	36,42,8
132,130,131	35,41,7
137,135,136	36,42,8
139,135,136	36,42,8
137,133,134	35,41,7
138,134,135	36,42,6
137,133,134	36,42,6
135,130,134	37,43,7
138,133,137	37,43,7
124,123,119	40,46,8
127,123,120	38,46,9
131,127,124	41,49,12
131,127,124	41,49,10
133,129,126	37,45,6
128,127,123	39,47,8
127,126,122	39,47,8
127,126,122	39,45,7
130,129,125	41,47,9
130,126,123	39,45,7
131,127,124	36,44,5
25,20,17	34,40,6
24,16,14	32,38,4
22,14,12	32,38,4
22,17,14	34,40,6
21,16,13	35,41,5
19,14,11	35,41,5
19,14,11	36,42,6
25,20,17	35,39,4
30,25,22	34,38,5
31,23,20	34,40,6
35,27,24	35,38,7
136,134,137	36,45,2
139,135,136	36,45,2
136,132,133	35,44,1
131,129,130	36,45,2
136,134,135	36,45,2
140,136,137	35,44,1
138,134,135	36,45,2
135,131,132	37,45,4
137,133,134	38,46,5
138,133,137	35,46,3
137,132,136	32,43,0
125,124,120	35,41,5
132,128,125	34,40,6
131,127,124	35,41,7
128,124,121	37,43,9
131,127,124	38,44,10
128,127,123	36,44,7
126,125,121	35,43,6
124,123,119	34,42,5
127,126,122	34,42,5
129,125,122	36,42,6
130,126,123	37,43,7
22,17,11	39,45,7
27,19,16	36,44,7
21,16,12	40,48,9
21,16,12	40,48,9
28,23,19	39,47,8
29,24,18	39,47,8
29,24,18	39,47,8
28,23,17	41,47,9
44,39,33	41,47,9
48,44,35	40,46,8
52,48,39	40,46,8
138,134,135	31,37,3
137,132,136	32,37,5
136,131,135	32,37,5
135,133,134	33,39,5
136,134,135	34,40,6
138,133,137	34,40,4
138,133,137	34,38,3
137,132,136	35,39,6
136,131,135	33,37,4
137,132,136	31,37,3
140,135,139	34,39,7
129,125,124	36,45,2
128,127,123	35,43,2
126,125,121	37,45,4
127,123,120	36,45,2
134,130,127	35,44,1
129,125,122	34,43,0
126,122,119	34,43,0
127,126,124	38,46,5
126,125,123	38,46,5
128,127,125	35,46,3
127,126,124	33,44,1
25,21,10	35,41,5
26,22,13	36,42,8
29,25,16	37,43,9
28,24,15	40,46,12
27,24,15	39,45,11
34,30,19	37,45,8
46,42,31	35,43,6
52,49,40	36,44,7
62,60,48	34,42,5
72,70,57	34,40,4
81,79,66	36,42,6
136,132,133	37,43,5
135,130,134	39,45,7
135,130,134	42,48,10
136,134,135	40,46,8
135,133,134	42,49,8
136,131,135	40,47,6
136,131,135	42,49,8
135,130,134	40,48,7
134,129,133	40,48,7
138,133,137	42,49,8
138,133,137	41,48,7
129,125,124	30,36,2
126,125,121	34,38,5
126,125,121	34,38,5
127,123,120	34,38,5
128,124,121	34,38,5
129,125,122	33,37,2
128,124,121	31,35,0
129,128,124	33,37,4
128,127,125	31,34,3
130,129,127	33,36,5
127,126,124	35,38,7
40,36,24	37,46,3
40,36,24	36,45,2
42,40,28	37,46,3
48,46,33	36,45,2
49,47,34	35,44,1
54,52,39	34,43,0
66,62,50	34,43,0
80,78,66	38,47,4
93,91,78	38,47,4
101,102,88	34,45,2
103,101,86	35,46,3
138,134,135	37,43,7
136,131,135	37,43,9
134,129,133	38,44,10
136,131,135	39,45,11
135,130,134	38,44,10
136,131,135	35,42,8
140,135,139	33,40,6
138,134,135	35,43,6
133,129,130	35,43,6
136,131,135	35,41,5
138,133,137	36,42,6
129,125,122	37,43,5
129,125,122	39,45,7
128,124,121	40,46,8
124,123,118	40,45,5
123,122,117	40,47,6
129,126,121	40,47,6
128,124,121	40,47,6
128,127,123	38,46,5
128,127,123	40,48,7
130,129,125	43,50,9
123,122,118	42,49,8
58,56,43	34,40,6
67,65,52	33,37,4
74,72,59	34,38,5
76,74,59	35,39,6
84,82,67	34,38,5
91,89,76	33,37,2
94,92,79	34,38,3
103,101,88	33,37,4
114,112,99	32,35,4
116,114,101	34,37,6
115,113,101	36,39,8
138,134,135	36,45,2
135,130,134	37,46,3
135,130,134	37,46,3
137,132,136	35,44,1
136,131,135	35,44,1
136,131,135	35,44,1
137,132,136	36,45,2
139,135,136	36,45,2
136,132,133	36,45,2
137,132,136	33,44,1
137,132,136	35,46,3
128,124,121	37,43,7
125,121,118	36,42,8
128,124,121	37,43,9
129,128,123	36,42,8
128,127,122	36,42,8
128,125,120	33,40,6
129,126,121	34,41,7
129,128,124	35,43,6
130,129,125	34,42,5
128,127,123	34,40,4
123,122,118	36,42,6
94,92,79	37,43,5
103,101,88	38,44,6
103,101,88	39,45,7
103,104,88	40,47,6
105,106,90	39,46,5
108,106,93	39,46,5
114,112,99	38,46,5
123,121,109	39,46,5
124,122,110	38,45,4
124,122,110	40,47,5
120,117,108	40,47,5
135,130,134	35,40,8
138,133,139	33,37,4
139,134,138	33,37,4
137,132,136	33,39,3
136,132,133	34,40,4
136,131,135	34,40,4
136,131,135	35,41,7
132,130,133	34,39,7
131,129,132	35,40,8
135,130,134	35,38,7
136,131,135	37,40,9
129,126,121	36,45,2
127,123,120	34,45,2
127,123,120	33,44,1
130,129,124	35,43,2
130,129,124	36,44,3
130,127,122	35,43,2
132,129,124	34,42,1
131,127,124	35,44,1
133,129,126	34,43,0
129,128,124	35,44,1
122,121,117	36,45,2
113,113,103	35,41,7
119,116,107	36,42,8
121,118,109	35,41,7
118,118,106	36,42,8
113,113,101	34,40,6
115,113,101	34,41,7
123,121,109	36,43,9
126,123,114	34,42,5
128,125,118	34,42,5
124,121,114	36,42,6
120,117,110	34,40,4
138,133,137	39,45,7
138,133,137	41,47,9
137,132,136	39,45,7
134,130,131	40,47,6
135,131,132	40,47,6
136,131,135	38,46,5
134,129,133	40,48,7
131,129,132	42,49,8
133,131,134	39,46,5
135,130,134	38,45,4
137,132,136	39,46,5
129,126,121	32,37,5
130,126,123	34,38,5
131,127,124	33,37,4
131,130,125	30,36,0
128,127,122	33,39,3
129,126,121	35,41,5
130,127,122	35,41,5
130,126,123	36,42,8
127,126,122	34,39,7
127,126,122	33,36,5
127,126,122	35,38,7
118,118,110	36,45,2
119,116,109	34,45,2
118,115,108	33,44,1
120,120,112	34,42,1
119,119,109	34,42,1
122,119,110	35,43,2
126,123,114	35,43,2
124,121,114	36,45,2
125,122,115	35,44,1
126,123,118	35,44,1
127,124,119	35,44,1
36,31,27	36,42,8
35,30,27	36,42,8
35,30,27	35,41,7
33,28,24	35,41,7
35,30,26	34,40,6
36,31,27	34,41,7
34,29,25	35,42,8
33,28,22	36,44,7
33,28,22	35,43,6
35,30,26	38,44,8
35,30,26	36,42,6
115,101,74	40,46,8
112,98,71	41,47,9
107,93,67	39,45,7
99,84,63	40,47,6
82,69,50	42,49,8
75,64,46	41,48,7
67,56,38	42,49,8
65,52,33	41,48,7
54,41,22	41,48,7
46,34,12	40,47,6
56,41,20	39,46,5
40,32,21	32,35,4
40,32,21	35,36,4
38,30,19	36,37,5
39,29,17	34,38,3
37,28,13	35,39,4
42,30,14	34,40,4
52,40,18	36,42,6
63,49,20	34,40,6
70,56,21	31,37,3
72,57,18	34,37,6
74,60,25	35,38,7
131,129,130	35,43,2
134,132,133	36,44,3
134,132,133	36,44,3
135,133,134	35,43,2
138,136,137	33,41,0
140,138,139	35,43,2
137,135,136	36,44,3
136,134,135	33,44,2
136,134,135	33,44,2
137,133,134	33,44,2
137,133,134	33,44,2
39,31,28	36,42,8
38,33,29	36,42,8
34,29,25	33,39,5
35,30,26	35,41,7
35,30,26	35,41,7
35,30,26	35,41,7
34,29,25	35,41,7
35,27,24	37,43,7
35,27,24	37,43,7
35,30,26	37,43,7
34,29,25	40,46,10
113,99,73	41,47,9
109,95,69	37,43,5
102,87,64	41,47,9
97,85,61	43,50,9
82,70,48	41,48,7
70,59,41	39,46,5
69,58,40	40,47,6
63,52,34	40,47,6
49,36,19	41,48,7
42,29,10	39,45,7
46,31,12	40,46,8
30,23,13	35,38,7
31,22,13	37,38,7
31,22,13	36,37,5
37,29,18	33,37,4
38,29,14	35,39,4
45,32,13	35,41,5
54,40,13	34,40,4
59,45,10	33,39,5
62,47,8	34,38,5
68,53,12	34,37,6
71,57,20	35,38,7
134,132,135	34,42,1
134,132,133	33,41,0
134,132,133	35,43,2
135,133,134	34,42,1
137,135,136	35,43,2
137,135,136	36,44,3
134,132,133	35,43,2
139,135,136	31,42,0
142,138,139	32,43,1
138,134,135	33,44,2
136,132,133	34,45,3
41,33,30	35,41,7
39,34,30	35,41,7
35,30,26	34,40,6
36,31,27	34,40,6
35,30,26	36,42,8
35,30,26	37,43,9
35,30,26	35,41,7
38,30,27	35,41,5
37,29,26	37,43,7
36,31,27	38,44,8
35,30,26	38,44,8
113,99,73	43,49,11
104,89,66	39,45,7
101,86,63	40,46,8
91,79,55	41,48,7
79,67,45	41,48,7
64,53,33	38,45,4
62,50,34	38,45,4
55,43,29	39,45,7
37,25,11	40,46,8
33,22,4	40,46,8
38,25,6	39,45,7
24,17,9	38,39,8
23,16,8	36,37,6
25,16,9	35,36,5
28,19,10	34,37,6
37,28,13	33,37,4
46,34,12	34,38,3
54,39,10	35,39,4
62,46,10	34,38,5
61,46,5	33,37,4
63,48,7	36,37,6
63,49,12	38,38,10
135,133,136	38,42,7
134,132,133	38,42,7
134,132,133	39,43,8
134,132,133	38,42,7
137,135,136	36,42,6
136,134,135	39,45,9
136,134,135	39,43,6
139,135,136	38,42,5
139,135,136	37,43,7
139,135,136	35,41,5
137,133,134	37,43,7
39,34,30	41,47,3
37,32,29	41,48,4
34,29,26	44,51,7
35,30,26	43,49,5
37,32,28	43,49,5
33,28,24	41,46,5
33,28,24	41,47,3
36,31,25	42,48,4
38,33,27	43,49,5
35,30,26	42,48,4
35,30,26	44,49,8
115,99,74	37,41,6
103,88,65	40,44,9
100,85,62	39,43,8
86,71,50	38,42,7
71,56,37	36,42,6
58,45,28	38,44,8
52,40,26	38,42,5
41,31,21	38,42,5
27,17,7	36,42,6
29,20,5	35,41,5
37,25,9	36,42,6
21,16,10	45,51,5
21,16,10	41,48,4
24,17,11	41,48,4
24,17,9	42,48,4
29,21,10	43,49,5
46,33,14	41,46,5
59,44,15	42,48,4
59,43,9	42,48,2
62,44,6	42,48,2
60,44,8	44,50,6
62,47,14	45,51,7
133,131,134	40,44,9
136,134,135	41,45,10
135,133,134	37,43,5
137,135,136	37,43,5
139,137,138	37,43,5
138,134,135	37,43,5
137,133,134	37,43,5
137,135,138	38,44,6
138,136,139	38,42,7
136,134,135	36,40,5
134,132,133	34,40,2
35,30,26	43,51,4
34,29,26	41,48,4
34,29,26	40,47,3
33,28,24	43,48,7
34,29,25	41,46,5
32,27,23	42,48,4
36,31,27	43,49,5
37,32,26	43,49,3
34,29,23	44,50,4
34,29,25	43,51,4
34,29,25	43,50,6
112,96,71	38,42,7
108,93,70	37,41,4
94,79,58	37,43,5
79,66,47	38,44,6
58,45,28	38,44,6
42,30,14	37,43,5
27,17,5	36,42,4
24,15,6	37,43,5
25,16,7	37,41,6
30,20,8	37,41,6
41,29,13	36,42,4
21,16,10	41,48,4
20,15,9	41,48,4
21,16,10	40,47,3
24,17,11	41,46,5
30,22,11	43,48,7
45,34,14	47,53,9
